Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Calibration_debut|uint16|MAIN|0|0|0|Calibration_debut|0|0|Déci|-||||Divers|Divers||Calibration_debut||4|||||||NONE|0|1||||1|0|0||0|0|65535|||0|<COMP>_START_SEC_CALIB_BEG
Calibration_fin|uint16|MAIN|0|0|0|Calibration_fin|0|0|Déci|-||||Divers|Divers||Calibration_fin||4|||||||NONE|0|1||||0|0|0||0|0|65535|||0|<COMP>_START_SEC_CALIB_END
Identification|uint8|IDENT|0|1|24|Identification|0|0|Phys|-|1|24|17|Divers|Divers||Identification||4||*||*||*||0|0||||1|0|0||0||||||
MAIN_s8TestVar1|sint8|MAIN|0|0|0|MAIN_s8TestVar1|0|0|Déci|-||||Main|Main||MAIN_s8TestVar1||1||||||||0|1||||1|0|0||0|||||0|
MAIN_s8TestVar2|sint8|MAIN|0|0|0|MAIN_s8TestVar2|0|0|Déci|-||||Main|Main||MAIN_s8TestVar2||1||||||||0|1||||1|0|0||0|||||0|
MAIN_s8TestVar3|sint8|MAIN|0|0|0|MAIN_s8TestVar3|0|0|Déci|-||||Main|Main||MAIN_s8TestVar3||1||||||||0|1||||1|0|0||0|||||0|
MAIN_s8TestVar4|sint8|MAIN|0|0|0|MAIN_s8TestVar4|0|0|Déci|-||||Main|Main||MAIN_s8TestVar4||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u8TestVar1|uint8|MAIN|0|0|0|MAIN_u8TestVar1|0|0|Déci|-||||Main|Main||MAIN_u8TestVar1||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u8TestVar2|uint8|MAIN|0|0|0|MAIN_u8TestVar2|0|0|Déci|-||||Main|Main||MAIN_u8TestVar2||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u8TestVar3|uint8|MAIN|0|0|0|MAIN_u8TestVar3|0|0|Déci|-||||Main|Main||MAIN_u8TestVar3||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u8TestVar4|uint8|MAIN|0|0|0|MAIN_u8TestVar4|0|0|Déci|-||||Main|Main||MAIN_u8TestVar4||1||||||||0|1||||1|0|0||0|||||0|
MAIN_s16TestVar1|sint16|MAIN|0|0|0|MAIN_s16TestVar1|0|0|Déci|-||||Main|Main||MAIN_s16TestVar1||1||||||||0|1||||1|0|0||0|||||0|
MAIN_s16TestVar2|sint16|MAIN|0|0|0|MAIN_s16TestVar2|0|0|Déci|-||||Main|Main||MAIN_s16TestVar2||1||||||||0|1||||1|0|0||0|||||0|
MAIN_s16TestVar3|sint16|MAIN|0|0|0|MAIN_s16TestVar3|0|0|Déci|-||||Main|Main||MAIN_s16TestVar3||1||||||||0|1||||1|0|0||0|||||0|
MAIN_s16TestVar4|sint16|MAIN|0|0|0|MAIN_s16TestVar4|0|0|Déci|-||||Main|Main||MAIN_s16TestVar4||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u16TestVar1|uint16|MAIN|0|0|0|MAIN_u16TestVar1|0|0|Déci|-||||Main|Main||MAIN_u16TestVar1||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u16TestVar2|uint16|MAIN|0|0|0|MAIN_u16TestVar2|0|0|Déci|-||||Main|Main||MAIN_u16TestVar2||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u16TestVar3|uint16|MAIN|0|0|0|MAIN_u16TestVar3|0|0|Déci|-||||Main|Main||MAIN_u16TestVar3||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u16TestVar4|uint16|MAIN|0|0|0|MAIN_u16TestVar4|0|0|Déci|-||||Main|Main||MAIN_u16TestVar4||1||||||||0|1||||1|0|0||0|||||0|
MAIN_s32TestVar1|sint32|MAIN|0|0|0|MAIN_s32TestVar1|0|0|Déci|-||||Main|Main||MAIN_s32TestVar1||1||||||||0|1||||1|0|0||0|||||0|
MAIN_s32TestVar2|sint32|MAIN|0|0|0|MAIN_s32TestVar2|0|0|Déci|-||||Main|Main||MAIN_s32TestVar2||1||||||||0|1||||1|0|0||0|||||0|
MAIN_s32TestVar3|sint32|MAIN|0|0|0|MAIN_s32TestVar3|0|0|Déci|-||||Main|Main||MAIN_s32TestVar3||1||||||||0|1||||1|0|0||0|||||0|
MAIN_s32TestVar4|sint32|MAIN|0|0|0|MAIN_s32TestVar4|0|0|Déci|-||||Main|Main||MAIN_s32TestVar4||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u32TestVar1|uint32|MAIN|0|0|0|MAIN_u32TestVar1|0|0|Déci|-||||Main|Main||MAIN_u32TestVar1||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u32TestVar2|uint32|MAIN|0|0|0|MAIN_u32TestVar2|0|0|Déci|-||||Main|Main||MAIN_u32TestVar2||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u32TestVar3|uint32|MAIN|0|0|0|MAIN_u32TestVar3|0|0|Déci|-||||Main|Main||MAIN_u32TestVar3||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u32TestVar4|uint32|MAIN|0|0|0|MAIN_u32TestVar4|0|0|Déci|-||||Main|Main||MAIN_u32TestVar4||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u32TskCtr1000ms|uint32|MAIN|0|0|0|MAIN_u32TskCtr1000ms|0|0|Déci|-||||Main|Main||MAIN_u32TskCtr1000ms||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u32TskCtr100ms|uint32|MAIN|0|0|0|MAIN_u32TskCtr100ms|0|0|Déci|-||||Main|Main||MAIN_u32TskCtr100ms||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u32TskCtr10ms|uint32|MAIN|0|0|0|MAIN_u32TskCtr10ms|0|0|Déci|-||||Main|Main||MAIN_u32TskCtr10ms||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u32TskCtr1ms|uint32|MAIN|0|0|0|MAIN_u32TskCtr1ms|0|0|Déci|-||||Main|Main||MAIN_u32TskCtr1ms||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u32TskCtr200ms|uint32|MAIN|0|0|0|MAIN_u32TskCtr200ms|0|0|Déci|-||||Main|Main||MAIN_u32TskCtr200ms||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u32TskCtr20ms|uint32|MAIN|0|0|0|MAIN_u32TskCtr20ms|0|0|Déci|-||||Main|Main||MAIN_u32TskCtr20ms||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u32TskCtr2ms|uint32|MAIN|0|0|0|MAIN_u32TskCtr2ms|0|0|Déci|-||||Main|Main||MAIN_u32TskCtr2ms||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u32TskCtr50ms|uint32|MAIN|0|0|0|MAIN_u32TskCtr50ms|0|0|Déci|-||||Main|Main||MAIN_u32TskCtr50ms||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u32TskCtr5ms|uint32|MAIN|0|0|0|MAIN_u32TskCtr5ms|0|0|Déci|-||||Main|Main||MAIN_u32TskCtr5ms||1||||||||0|1||||1|0|0||0|||||0|
MAIN_bMSGRxToutBenchOnC|boolean|MAIN|0|0|0|MAIN_bMSGRxToutBenchOnC|0|0|Phys|bool|2|0||Developpement|Developpement||MAIN_bMSGRxToutBenchOnC||2|||||||NONE|1|1||||1|0|0|COM MSG Rx activation|0||||||

MAIN_MSGRxBenchOnC|boolean|MAIN|0|0|0|MAIN_MSGRxBenchOnC|0|0|Phys|bool|2|0||Communication|Communication||MAIN_MSGRxBenchOnC||2|||||||NONE|1|1||||1|0|0|Rx MSG activation|0||||||
MAIN_bMSGRxToutBenchOnC|boolean|MAIN|0|0|0|MAIN_bMSGRxToutBenchOnC|0|0|Phys|bool|2|0||Developpement|Developpement||MAIN_bMSGRxToutBenchOnC||2|||||||NONE|1|1||||1|0|0|COM MSG Rx activation|0||||||
MAIN_MSGTxBenchOnC|boolean|MAIN|0|0|0|MAIN_MSGTxBenchOnC|0|0|Phys|bool|2|0||Communication|Communication||MAIN_MSGTxBenchOnC||2|||||||NONE|1|1||||1|0|0|Tx MSG activation|0||||||
MAIN_MSGu16WhlSpdFrntLeRaw|uint16|MAIN|0|0|0|MAIN_MSGu16WhlSpdFrntLeRaw|0|0|Hexa|-||||Communication|ABS1|Raw|MAIN_MSGu16WhlSpdFrntLeRaw||1|||||||NONE|0|1||||1|0|0|Message ABS1 10ms |0||||||
