Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec

Flash_trimDataBuf|sint32|TLE8242|1|8|4|Flash_trimDataBuf|0|0|Déci|-||||Application|TLE8242|TLE8242|Flash_trimDataBuf||2|||||||NONE|1|1||||1|0|0|Trim calib Data|0||||||
TLE8242_af32TarCnrtMa|float32|TLE8242|1|1|8|TLE8242_af32TarCnrtMa|0|0|Phys|mA|1|1|0| |TLE8242|TLE8242|TLE8242_af32TarCnrtMa||1|||||||NONE|0|1||||1|0|1|Target current |0||||||
TLE8242_af32TarCnrtAftTrimMa|float32|TLE8242|1|1|8|TLE8242_af32TarCnrtAftTrimMa|0|0|Phys|mA|1|1|0| |TLE8242|TLE8242|TLE8242_af32TarCnrtAftTrimMa||1|||||||NONE|0|1||||1|0|1|Target current |0||||||
TLE8242_af32DitherAmplMa|float32|TLE8242|1|1|8|TLE8242_af32DitherAmplMa|0|0|Phys|mA|1|1|0| |TLE8242|TLE8242|TLE8242_af32DitherAmplMa||1|||||||NONE|0|1||||1|0|1|dither ampl |0||||||
TLE8242_af32DitherFrq|float32|TLE8242|1|1|8|TLE8242_af32DitherFrq|0|0|Phys|mA|1|1|0| |TLE8242|TLE8242|TLE8242_af32DitherFrq||1|||||||NONE|0|1||||1|0|1|dither frequency|0||||||
TLE8242_af32DutyCycle|float32|TLE8242|1|1|8|TLE8242_af32DutyCycle|0|0|Deci|-|1|1|0| |TLE8242|TLE8242|TLE8242_af32DutyCycle||1|||||||NONE|0|1||||1|0|1|duty cycle |0||||||
TLE8242_af32AvgCrntMa|float32|TLE8242|1|1|8|TLE8242_af32AvgCrntMa|0|0|Phys|mA|1|1|0| |TLE8242|TLE8242|TLE8242_af32AvgCrntMa||1|||||||NONE|0|1||||1|0|1|average current |0||||||
TLE8242_af32MaxCnrtMa|float32|TLE8242|1|1|8|TLE8242_af32MaxCnrtMa|0|0|Phys|mA|1|1|0| |TLE8242|TLE8242|TLE8242_af32MaxCnrtMa||1|||||||NONE|0|1||||1|0|1|mAximum current |0||||||
TLE8242_af32MinCnrtMa|float32|TLE8242|1|1|8|TLE8242_af32MinCnrtMa|0|0|Phys|mA|1|1|0| |TLE8242|TLE8242|TLE8242_af32MinCnrtMa||1|||||||NONE|0|1||||1|0|1|minimum current |0||||||
