Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
SWTST_aku16Duty|uint16|SWTST|1|4|3|SWTST_aku16Duty|0|0|Phys|%|1|100/16384|0|Application|SWTST|EVP|SWTST_aku16Duty||1|*|*|*|*|*|*|NONE|1|1||||1|0|1||0|0|65535|||0|
SWTST_aku32Prd|uint32|SWTST|1|1|4|SWTST_aku32Prd|0|0|Phys|µs|1|0.01|0|Application|SWTST|EVP|SWTST_aku32Prd||1||*||*||*|NONE|0|1||||1|0|1||0|0|4294967295|||0|
SWTST_kbEVPTstEnaC|uint8|SWTST|0|0|0|SWTST_kbEVPTstEnaC|0|0|Phys|bool|2|0||Application|SWTST|EVP|SWTST_kbEVPTstEnaC||1|||||||NONE|1|1|||0|1|0|0|Activate EVP tests|0|||||0|
SWTST_ku8EVPTstNrC|uint8|SWTST|0|0|0|SWTST_ku8EVPTstNrC|0|0|Déci|-||||Application|SWTST|EVP|SWTST_ku8EVPTstNrC||1|||||||NONE|1|1|||0|1|0|0|Test number|0|||||0|
SWTST_u32EVPTstErrInfo|uint32|SWTST|0|0|0|SWTST_u32EVPTstErrInfo|0|0|Hexa|-||||Application|SWTST|EVP|SWTST_u32EVPTstErrInfo||1||||||||0|1||||1|0|0|Information on the error that stopped the sequence|0|||||0|
SWTST_u8EVPResumeTstNr|uint8|SWTST|0|0|0|SWTST_u8EVPResumeTstNr|0|0|Déci|-||||Application|SWTST|EVP|SWTST_u8EVPResumeTstNr||1||||||||0|1||||1|0|0|Test that has to be resumed after the reset|0|||||0|
SWTST_u8EVPTstDoneNr|uint8|SWTST|0|0|0|SWTST_u8EVPTstDoneNr|0|0|Déci|-||||Application|SWTST|EVP|SWTST_u8EVPTstDoneNr||1||||||||0|1||||1|0|0|Last test done|0|||||0|
SWTST_u8EVPTstErrId|uint8|SWTST|0|0|0|SWTST_u8EVPTstErrId|0|0|Déci|-||||Application|SWTST|EVP|SWTST_u8EVPTstErrId||1||||||||0|1||||1|0|0|Identifier of the first error in the test sequence|0|||||0|
SWTST_u8EVPTstNrNm1|uint8|SWTST|0|0|0|SWTST_u8EVPTstNrNm1|0|0|Déci|-||||Application|SWTST|EVP|SWTST_u8EVPTstNrNm1||1||||||||0|1||||1|0|0|Previous value of "SWTST_ku8EVPTstNrC"|0|||||0|
SWTST_vbEVPTstDone|boolean|SWTST|0|0|0|SWTST_vbEVPTstDone|0|0|Phys|bool|2|0||Application|SWTST|EVP|SWTST_vbEVPTstDone||1||||||||0|1||||1|0|0|Test sequence is done|1|||||0|
